id	rule_index	rule	grounding
19	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30030002 type Answer => 30030002 hasAnswerScale_Type Nominal
20	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30140002 type Answer => 30140002 hasAnswerScale_Type Nominal
21	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30120003 type Answer => 30120003 hasAnswerScale_Type Nominal
22	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30170002 type Answer => 30170002 hasAnswerScale_Type Nominal
23	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30090004 type Answer => 30090004 hasAnswerScale_Type Nominal
24	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30220002 type Answer => 30220002 hasAnswerScale_Type Nominal
25	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	10050002 type Answer => 10050002 hasAnswerScale_Type Nominal
26	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30250005 type Answer => 30250005 hasAnswerScale_Type Nominal
27	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30060003 type Answer => 30060003 hasAnswerScale_Type Nominal
28	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30160001 type Answer => 30160001 hasAnswerScale_Type Nominal
29	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30170004 type Answer => 30170004 hasAnswerScale_Type Nominal
30	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	284_M010_01 ResponseOnPlatform 1 => 284_M010_01 type Response
31	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	410_UM12 ResponseOnPlatform 1 => 410_UM12 type Response
32	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	470_UM18 ResponseOnPlatform 1 => 470_UM18 type Response
33	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	337_SU01_10 ResponseOnPlatform 1 => 337_SU01_10 type Response
34	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	422_UM13 ResponseOnPlatform 1 => 422_UM13 type Response
35	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	116_M007_01 ResponseOnPlatform 1 => 116_M007_01 type Response
36	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	458_UM25 ResponseOnPlatform 1 => 458_UM25 type Response
37	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	420_UM17 ResponseOnPlatform 1 => 420_UM17 type Response
38	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	116_M008_01 ResponseOnPlatform 1 => 116_M008_01 type Response
39	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	208_M004_01 ResponseOnPlatform 1 => 208_M004_01 type Response
40	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	277_M007_01 ResponseOnPlatform 1 => 277_M007_01 type Response
41	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	451_UM20 ResponseOnPlatform 1 => 451_UM20 type Response
42	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	407_UM06 ResponseOnPlatform 1 => 407_UM06 type Response
43	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	117_M010_01 ResponseOnPlatform 1 => 117_M010_01 type Response
44	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	414_UM24 ResponseOnPlatform 1 => 414_UM24 type Response
45	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	251_M002_01 ResponseOnPlatform 1 => 251_M002_01 type Response
46	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	400_SU01_06 ResponseOnPlatform 1 => 400_SU01_06 type Response
47	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	157_M002_01 ResponseOnPlatform 1 => 157_M002_01 type Response
48	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	265_M003_01 ResponseOnPlatform 1 => 265_M003_01 type Response
49	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	282_M003_01 ResponseOnPlatform 1 => 282_M003_01 type Response
50	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	460_UM13 ResponseOnPlatform 1 => 460_UM13 type Response
51	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	93_M004_01 ResponseOnPlatform 1 => 93_M004_01 type Response
52	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	52_M008_01 ResponseOnPlatform 1 => 52_M008_01 type Response
53	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	474_UM03 ResponseOnPlatform 1 => 474_UM03 type Response
54	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	71_M003_01 ResponseOnPlatform 1 => 71_M003_01 type Response
55	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	428_UM23 ResponseOnPlatform 1 => 428_UM23 type Response
56	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	11_M002_01 ResponseOnPlatform 1 => 11_M002_01 type Response
57	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	381_SU01_03 ResponseOnPlatform 1 => 381_SU01_03 type Response
58	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	450_UM17 ResponseOnPlatform 1 => 450_UM17 type Response
59	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	479_UM13 ResponseOnPlatform 1 => 479_UM13 type Response
60	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	235_M006_01 hasVisitId 235 => 235_M006_01 Response_by_User 235
61	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	248_M003_01 hasVisitId 248 => 248_M003_01 Response_by_User 248
62	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	368_SU01_07 hasVisitId 368 => 368_SU01_07 Response_by_User 368
63	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	332_SU01_07 hasVisitId 332 => 332_SU01_07 Response_by_User 332
64	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	178_M003_01 hasVisitId 178 => 178_M003_01 Response_by_User 178
65	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	398_SU01_08 hasVisitId 398 => 398_SU01_08 Response_by_User 398
66	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	71_M004_01 hasVisitId 71 => 71_M004_01 Response_by_User 71
67	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	456_UM17 hasVisitId 456 => 456_UM17 Response_by_User 456
68	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	445_UM25 hasVisitId 445 => 445_UM25 Response_by_User 445
69	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	49_M003_01 hasVisitId 49 => 49_M003_01 Response_by_User 49
70	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	416_UM15 hasVisitId 416 => 416_UM15 Response_by_User 416
71	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	183_M003_01 hasVisitId 183 => 183_M003_01 Response_by_User 183
72	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	463_UM22 hasVisitId 463 => 463_UM22 Response_by_User 463
73	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	332_SU01_04 hasVisitId 332 => 332_SU01_04 Response_by_User 332
74	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	461_UM12 hasVisitId 461 => 461_UM12 Response_by_User 461
75	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	136_M002_01 hasVisitId 136 => 136_M002_01 Response_by_User 136
76	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	484_UM14 hasVisitId 484 => 484_UM14 Response_by_User 484
77	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	115_M004_01 hasVisitId 115 => 115_M004_01 Response_by_User 115
78	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	377_SU01_03 hasVisitId 377 => 377_SU01_03 Response_by_User 377
79	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	257_M003_01 hasVisitId 257 => 257_M003_01 Response_by_User 257
80	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	26_M006_01 hasVisitId 26 => 26_M006_01 Response_by_User 26
81	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	55_M007_01 hasVisitId 55 => 55_M007_01 Response_by_User 55
82	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	439_UM07 hasVisitId 439 => 439_UM07 Response_by_User 439
83	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	106_M010_01 hasVisitId 106 => 106_M010_01 Response_by_User 106
84	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	411_UM19 hasVisitId 411 => 411_UM19 Response_by_User 411
85	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	259_M004_01 hasVisitId 259 => 259_M004_01 Response_by_User 259
86	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	160_M006_01 hasVisitId 160 => 160_M006_01 Response_by_User 160
87	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	152_M002_01 hasVisitId 152 => 152_M002_01 Response_by_User 152
88	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	471_UM10 hasVisitId 471 => 471_UM10 Response_by_User 471
89	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	466_UM19 hasVisitId 466 => 466_UM19 Response_by_User 466
90	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30170004 hasAnswerId 30170004 | 30170004 type Answer => 30170004 hasAnswerScale_Type Nominal
91	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30110005 hasAnswerId 30110005 | 30110005 type Answer => 30110005 hasAnswerScale_Type Nominal
92	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30030002 hasAnswerId 30030002 | 30030002 type Answer => 30030002 hasAnswerScale_Type Nominal
93	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30020003 hasAnswerId 30020003 | 30020003 type Answer => 30020003 hasAnswerScale_Type Nominal
94	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30130004 hasAnswerId 30130004 | 30130004 type Answer => 30130004 hasAnswerScale_Type Nominal
95	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30190001 hasAnswerId 30190001 | 30190001 type Answer => 30190001 hasAnswerScale_Type Nominal
96	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30090003 hasAnswerId 30090003 | 30090003 type Answer => 30090003 hasAnswerScale_Type Nominal
97	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30170001 hasAnswerId 30170001 | 30170001 type Answer => 30170001 hasAnswerScale_Type Nominal
98	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30200005 hasAnswerId 30200005 | 30200005 type Answer => 30200005 hasAnswerScale_Type Nominal
99	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30170005 hasAnswerId 30170005 | 30170005 type Answer => 30170005 hasAnswerScale_Type Nominal
100	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30180003 hasAnswerId 30180003 | 30180003 type Answer => 30180003 hasAnswerScale_Type Nominal
101	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30120003 hasAnswerId 30120003 | 30120003 type Answer => 30120003 hasAnswerScale_Type Nominal
102	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30040002 hasAnswerId 30040002 | 30040002 type Answer => 30040002 hasAnswerScale_Type Nominal
103	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30020005 hasAnswerId 30020005 | 30020005 type Answer => 30020005 hasAnswerScale_Type Nominal
104	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30160002 hasAnswerId 30160002 | 30160002 type Answer => 30160002 hasAnswerScale_Type Nominal
105	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30030004 hasAnswerId 30030004 | 30030004 type Answer => 30030004 hasAnswerScale_Type Nominal
106	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30100004 hasAnswerId 30100004 | 30100004 type Answer => 30100004 hasAnswerScale_Type Nominal
107	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30010004 hasAnswerId 30010004 | 30010004 type Answer => 30010004 hasAnswerScale_Type Nominal
108	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30060004 hasAnswerId 30060004 | 30060004 type Answer => 30060004 hasAnswerScale_Type Nominal
109	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30090002 hasAnswerId 30090002 | 30090002 type Answer => 30090002 hasAnswerScale_Type Nominal
110	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30100005 hasAnswerId 30100005 | 30100005 type Answer => 30100005 hasAnswerScale_Type Nominal
111	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30190005 hasAnswerId 30190005 | 30190005 type Answer => 30190005 hasAnswerScale_Type Nominal
112	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30240005 hasAnswerId 30240005 | 30240005 type Answer => 30240005 hasAnswerScale_Type Nominal
113	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30060005 hasAnswerId 30060005 | 30060005 type Answer => 30060005 hasAnswerScale_Type Nominal
114	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30020004 hasAnswerId 30020004 | 30020004 type Answer => 30020004 hasAnswerScale_Type Nominal
115	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30220001 hasAnswerId 30220001 | 30220001 type Answer => 30220001 hasAnswerScale_Type Nominal
116	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30080001 hasAnswerId 30080001 | 30080001 type Answer => 30080001 hasAnswerScale_Type Nominal
117	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30200001 hasAnswerId 30200001 | 30200001 type Answer => 30200001 hasAnswerScale_Type Nominal
118	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30240002 hasAnswerId 30240002 | 30240002 type Answer => 30240002 hasAnswerScale_Type Nominal
119	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30040001 hasAnswerId 30040001 | 30040001 type Answer => 30040001 hasAnswerScale_Type Nominal
120	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30170004 hasAnswerId 30170004 | 30170004 type Answer => 30170004 hasAnswerScale_Type Nominal
121	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30110005 hasAnswerId 30110005 | 30110005 type Answer => 30110005 hasAnswerScale_Type Nominal
122	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30030002 hasAnswerId 30030002 | 30030002 type Answer => 30030002 hasAnswerScale_Type Nominal
123	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30020003 hasAnswerId 30020003 | 30020003 type Answer => 30020003 hasAnswerScale_Type Nominal
124	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30130004 hasAnswerId 30130004 | 30130004 type Answer => 30130004 hasAnswerScale_Type Nominal
125	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30190001 hasAnswerId 30190001 | 30190001 type Answer => 30190001 hasAnswerScale_Type Nominal
126	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30090003 hasAnswerId 30090003 | 30090003 type Answer => 30090003 hasAnswerScale_Type Nominal
127	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30170001 hasAnswerId 30170001 | 30170001 type Answer => 30170001 hasAnswerScale_Type Nominal
128	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30200005 hasAnswerId 30200005 | 30200005 type Answer => 30200005 hasAnswerScale_Type Nominal
129	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30170005 hasAnswerId 30170005 | 30170005 type Answer => 30170005 hasAnswerScale_Type Nominal
130	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30180003 hasAnswerId 30180003 | 30180003 type Answer => 30180003 hasAnswerScale_Type Nominal
131	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30120003 hasAnswerId 30120003 | 30120003 type Answer => 30120003 hasAnswerScale_Type Nominal
132	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30040002 hasAnswerId 30040002 | 30040002 type Answer => 30040002 hasAnswerScale_Type Nominal
133	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30020005 hasAnswerId 30020005 | 30020005 type Answer => 30020005 hasAnswerScale_Type Nominal
134	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30160002 hasAnswerId 30160002 | 30160002 type Answer => 30160002 hasAnswerScale_Type Nominal
135	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30030004 hasAnswerId 30030004 | 30030004 type Answer => 30030004 hasAnswerScale_Type Nominal
136	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30100004 hasAnswerId 30100004 | 30100004 type Answer => 30100004 hasAnswerScale_Type Nominal
137	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30010004 hasAnswerId 30010004 | 30010004 type Answer => 30010004 hasAnswerScale_Type Nominal
138	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30060004 hasAnswerId 30060004 | 30060004 type Answer => 30060004 hasAnswerScale_Type Nominal
139	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30090002 hasAnswerId 30090002 | 30090002 type Answer => 30090002 hasAnswerScale_Type Nominal
140	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30100005 hasAnswerId 30100005 | 30100005 type Answer => 30100005 hasAnswerScale_Type Nominal
141	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30190005 hasAnswerId 30190005 | 30190005 type Answer => 30190005 hasAnswerScale_Type Nominal
142	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30240005 hasAnswerId 30240005 | 30240005 type Answer => 30240005 hasAnswerScale_Type Nominal
143	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30060005 hasAnswerId 30060005 | 30060005 type Answer => 30060005 hasAnswerScale_Type Nominal
144	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30020004 hasAnswerId 30020004 | 30020004 type Answer => 30020004 hasAnswerScale_Type Nominal
145	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30220001 hasAnswerId 30220001 | 30220001 type Answer => 30220001 hasAnswerScale_Type Nominal
146	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30080001 hasAnswerId 30080001 | 30080001 type Answer => 30080001 hasAnswerScale_Type Nominal
147	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30200001 hasAnswerId 30200001 | 30200001 type Answer => 30200001 hasAnswerScale_Type Nominal
148	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30240002 hasAnswerId 30240002 | 30240002 type Answer => 30240002 hasAnswerScale_Type Nominal
149	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30040001 hasAnswerId 30040001 | 30040001 type Answer => 30040001 hasAnswerScale_Type Nominal
150	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM03 hasQuestion_Category Quality | 30030001 is_Answer_To UM03 => 30030001 hasAnswerScale_Type Nominal
151	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM03 hasQuestion_Category Quality | 30030003 is_Answer_To UM03 => 30030003 hasAnswerScale_Type Nominal
152	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM03 hasQuestion_Category Quality | 30030005 is_Answer_To UM03 => 30030005 hasAnswerScale_Type Nominal
153	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM03 hasQuestion_Category Quality | 30030004 is_Answer_To UM03 => 30030004 hasAnswerScale_Type Nominal
154	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM03 hasQuestion_Category Quality | 30030002 is_Answer_To UM03 => 30030002 hasAnswerScale_Type Nominal
155	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM12 hasQuestion_Category Quality | 30120005 is_Answer_To UM12 => 30120005 hasAnswerScale_Type Nominal
156	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM12 hasQuestion_Category Quality | 30120001 is_Answer_To UM12 => 30120001 hasAnswerScale_Type Nominal
157	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM12 hasQuestion_Category Quality | 30120003 is_Answer_To UM12 => 30120003 hasAnswerScale_Type Nominal
158	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM12 hasQuestion_Category Quality | 30120004 is_Answer_To UM12 => 30120004 hasAnswerScale_Type Nominal
159	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM12 hasQuestion_Category Quality | 30120006 is_Answer_To UM12 => 30120006 hasAnswerScale_Type Nominal
160	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM12 hasQuestion_Category Quality | 30120002 is_Answer_To UM12 => 30120002 hasAnswerScale_Type Nominal
161	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM10 hasQuestion_Category Quality | 30100004 is_Answer_To UM10 => 30100004 hasAnswerScale_Type Nominal
162	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM10 hasQuestion_Category Quality | 30100001 is_Answer_To UM10 => 30100001 hasAnswerScale_Type Nominal
163	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM10 hasQuestion_Category Quality | 30100003 is_Answer_To UM10 => 30100003 hasAnswerScale_Type Nominal
164	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM10 hasQuestion_Category Quality | 30100005 is_Answer_To UM10 => 30100005 hasAnswerScale_Type Nominal
165	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM10 hasQuestion_Category Quality | 30100002 is_Answer_To UM10 => 30100002 hasAnswerScale_Type Nominal
166	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM11 hasQuestion_Category Quality | 30110002 is_Answer_To UM11 => 30110002 hasAnswerScale_Type Nominal
167	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM11 hasQuestion_Category Quality | 30110003 is_Answer_To UM11 => 30110003 hasAnswerScale_Type Nominal
168	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM11 hasQuestion_Category Quality | 30110001 is_Answer_To UM11 => 30110001 hasAnswerScale_Type Nominal
169	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM11 hasQuestion_Category Quality | 30110005 is_Answer_To UM11 => 30110005 hasAnswerScale_Type Nominal
170	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM11 hasQuestion_Category Quality | 30110004 is_Answer_To UM11 => 30110004 hasAnswerScale_Type Nominal
171	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM13 hasQuestion_Category Quality | 30130003 is_Answer_To UM13 => 30130003 hasAnswerScale_Type Nominal
