semantic_unit_uri,review_reason,ontology_class_uri,entity_count,example_entity_uris,example_labels,note
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0014,unclassified_entity,,236,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0014_54_62|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0014_109_119|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0014_149_154|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0014_158_166|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0014_169_175,patients|Components|Level|evidence|Issues,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0015,unclassified_entity,,68,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0015_9_24|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0015_54_62|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0015_108_118|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0015_152_159|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0015_195_205,Core components|patients|Components|Patient|limitation,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0016,unclassified_entity,,97,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0016_9_24|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0016_54_62|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0016_98_108|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0016_142_160|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0016_167_179,Core components|patients|Components|Patient assessment|Risk factors,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_01097b946c126c9b25b68533078b70506c8f3b5ef09d987a529c14aa554fb11e_n0001,unclassified_entity,,25,http://digistrucmed.org/entity/lu_01097b946c126c9b25b68533078b70506c8f3b5ef09d987a529c14aa554fb11e_n0001_2_9|http://digistrucmed.org/entity/lu_01097b946c126c9b25b68533078b70506c8f3b5ef09d987a529c14aa554fb11e_n0001_51_59|http://digistrucmed.org/entity/lu_01097b946c126c9b25b68533078b70506c8f3b5ef09d987a529c14aa554fb11e_n0001_92_102|http://digistrucmed.org/entity/lu_01097b946c126c9b25b68533078b70506c8f3b5ef09d987a529c14aa554fb11e_n0001_104_108|http://digistrucmed.org/entity/lu_01097b946c126c9b25b68533078b70506c8f3b5ef09d987a529c14aa554fb11e_n0001_128_138,Therapy|Patients|inhibition|ACEi|inhibition,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_01be9f02a42e0a2a1a2fe2fffa393636969f96b77010ef89325ae8a273e547a3_n0015,unclassified_entity,,21,http://digistrucmed.org/entity/lu_01be9f02a42e0a2a1a2fe2fffa393636969f96b77010ef89325ae8a273e547a3_n0015_0_3|http://digistrucmed.org/entity/lu_01be9f02a42e0a2a1a2fe2fffa393636969f96b77010ef89325ae8a273e547a3_n0015_8_30|http://digistrucmed.org/entity/lu_01be9f02a42e0a2a1a2fe2fffa393636969f96b77010ef89325ae8a273e547a3_n0015_32_37|http://digistrucmed.org/entity/lu_01be9f02a42e0a2a1a2fe2fffa393636969f96b77010ef89325ae8a273e547a3_n0015_38_55|http://digistrucmed.org/entity/lu_01be9f02a42e0a2a1a2fe2fffa393636969f96b77010ef89325ae8a273e547a3_n0015_56_77,Tab|Medikamentöse Therapie|orale|Applikationen und|Gewichtsreduktion bei,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0001,unclassified_entity,,73,http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0001_0_5|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0001_33_50|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0001_56_73|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0001_78_94|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0001_101_109,Table|Patient Education|Associated Skills|Target Behaviors|Elements,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0002,unclassified_entity,,73,http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0002_0_5|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0002_33_50|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0002_56_73|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0002_78_94|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0002_101_109,Table|Patient Education|Associated Skills|Target Behaviors|Elements,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0004,unclassified_entity,,30,http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0004_0_5|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0004_23_33|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0004_42_60|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0004_79_92|http://digistrucmed.org/entity/lu_03f999f43342b523ef8ea8334b7569ba6a8408421e54b30f8f8a2513456bec53_n0004_93_102,Table|Components|Disease Management|Comprehensive|education,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0004,unclassified_entity,,86,http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0004_9_23|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0004_36_49|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0004_50_60|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0004_64_72|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0004_78_80,Considerations|Critical Care|Monitoring|Patients|CS,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0005,unclassified_entity,,86,http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0005_9_18|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0005_22_28|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0005_33_44|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0005_89_91|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0005_126_130,Mechanism|Action|Hemodynamic|CS|Dose,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0006,unclassified_entity,,163,http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0006_39_53|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0006_57_62|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0006_66_68|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0006_75_80|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0006_84_96,Considerations|Types|CS|Cause|Presentation,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0007,unclassified_entity,,55,http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0007_0_5|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0007_58_66|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0007_72_74|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0007_81_87|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0007_90_96,Table|Patients|CS|Bundle|Target,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0008,unclassified_entity,,185,http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0008_9_20|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0008_48_58|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0008_62_64|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0008_71_81|http://digistrucmed.org/entity/lu_09ac95762f6d1123e025abc480455ce3be54b1a04b2b6ffd7375f9b73d0a4eee_n0008_92_123,Suggestions|Management|CS|Management|Patient-Focused Supportive Care,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0004,unclassified_entity,,70,http://digistrucmed.org/entity/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0004_2_7|http://digistrucmed.org/entity/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0004_39_52|http://digistrucmed.org/entity/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0004_56_67|http://digistrucmed.org/entity/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0004_178_191|http://digistrucmed.org/entity/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0004_197_217,Types|Generic Names|Brand Names|blood vessels|Lower blood pressure,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0007,unclassified_entity,,27,http://digistrucmed.org/entity/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0007_9_14|http://digistrucmed.org/entity/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0007_15_19|http://digistrucmed.org/entity/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0007_44_51|http://digistrucmed.org/entity/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0007_65_90|http://digistrucmed.org/entity/lu_0a5b07262fb6deaea1305147b46e84b8a0e692c3bf4e3b142d88ada7ab765548_n0007_91_100,"label|says|product|Sodium-free, salt-free or|no sodium",No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,unclassified_entity,,132,http://digistrucmed.org/entity/lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_2_35|http://digistrucmed.org/entity/lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_38_57|http://digistrucmed.org/entity/lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_85_105|http://digistrucmed.org/entity/lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_106_109|http://digistrucmed.org/entity/lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_112_135,Gerätekategorie | Patientenstatus|Geräteeinstellungen|Umprogrammierung prä|MRT|Rückprogrammierung post,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_1ca6b12bf60a843c31976df4cf836e2353b6d17302421e94558c45f07a8d6778_n0001,unclassified_entity,,41,http://digistrucmed.org/entity/lu_1ca6b12bf60a843c31976df4cf836e2353b6d17302421e94558c45f07a8d6778_n0001_2_13|http://digistrucmed.org/entity/lu_1ca6b12bf60a843c31976df4cf836e2353b6d17302421e94558c45f07a8d6778_n0001_16_26|http://digistrucmed.org/entity/lu_1ca6b12bf60a843c31976df4cf836e2353b6d17302421e94558c45f07a8d6778_n0001_29_38|http://digistrucmed.org/entity/lu_1ca6b12bf60a843c31976df4cf836e2353b6d17302421e94558c45f07a8d6778_n0001_46_54|http://digistrucmed.org/entity/lu_1ca6b12bf60a843c31976df4cf836e2353b6d17302421e94558c45f07a8d6778_n0001_58_66,Risk Factor|Population|Treatment|Strength|Evidence,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_1d4ae21bdadbacafa8087e019976dde180c346c5d4626772c2b286528336efac_n0002,unclassified_entity,,132,http://digistrucmed.org/entity/lu_1d4ae21bdadbacafa8087e019976dde180c346c5d4626772c2b286528336efac_n0002_10_14|http://digistrucmed.org/entity/lu_1d4ae21bdadbacafa8087e019976dde180c346c5d4626772c2b286528336efac_n0002_15_25|http://digistrucmed.org/entity/lu_1d4ae21bdadbacafa8087e019976dde180c346c5d4626772c2b286528336efac_n0002_30_41|http://digistrucmed.org/entity/lu_1d4ae21bdadbacafa8087e019976dde180c346c5d4626772c2b286528336efac_n0002_42_51|http://digistrucmed.org/entity/lu_1d4ae21bdadbacafa8087e019976dde180c346c5d4626772c2b286528336efac_n0002_66_73,Risk|estimation|risk factor|treatment|healthy,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
