Rule 849:
If type Answer AND type Scale Type, then answer scale_ type ?b.

Formal Rule:
Head: ?a  hasAnswerScale_Type  ?b
Body: ?a  type  Answer  ?b  type  Scale_Type

Real Instances from Knowledge Graph (1092 found):

10030106 has answer scale_ type Ordinal, 10030106 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010801 has answer scale_ type Ordinal, 20010801 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010801, 20010801 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010801, 20010801 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010801, 20010801 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010201 has answer scale_ type Ordinal, 20010201 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010201, 20010201 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010201, 20010201 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010201, 20010201 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30190004, 30190004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30190004 has answer scale_ type Nominal, 30190004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30190004, 30190004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30190004, 30190004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30100003, 30100003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30100003 has answer scale_ type Nominal, 30100003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30100003, 30100003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30100003, 30100003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30210002, 30210002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30210002 has answer scale_ type Nominal, 30210002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30210002, 30210002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30210002, 30210002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20011001 has answer scale_ type Ordinal, 20011001 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20011001, 20011001 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20011001, 20011001 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20011001, 20011001 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30210003, 30210003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30210003 has answer scale_ type Nominal, 30210003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30210003, 30210003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30210003, 30210003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010701 has answer scale_ type Ordinal, 20010701 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010701, 20010701 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010701, 20010701 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010701, 20010701 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010305 has answer scale_ type Ordinal, 20010305 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010305, 20010305 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010305, 20010305 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010305, 20010305 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30150001, 30150001 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30150001 has answer scale_ type Nominal, 30150001 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30150001, 30150001 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30150001, 30150001 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30100006, 30100006 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30100006, 30100006 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30100006 has answer scale_ type NullAnswer, 30100006 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30100006, 30100006 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10060111, 10060111 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10060111, 10060111 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10060111 has answer scale_ type NullAnswer, 10060111 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10060111, 10060111 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30150005, 30150005 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30150005 has answer scale_ type Nominal, 30150005 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30150005, 30150005 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30150005, 30150005 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30080004, 30080004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30080004 has answer scale_ type Nominal, 30080004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30080004, 30080004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30080004, 30080004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10100106 has answer scale_ type Ordinal, 10100106 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10100106, 10100106 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10100106, 10100106 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10100106, 10100106 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30220003, 30220003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30220003 has answer scale_ type Nominal, 30220003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30220003, 30220003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30220003, 30220003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30060001, 30060001 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30060001 has answer scale_ type Nominal, 30060001 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30060001, 30060001 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30060001, 30060001 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30130002, 30130002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30130002 has answer scale_ type Nominal, 30130002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30130002, 30130002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30130002, 30130002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010505 has answer scale_ type Ordinal, 20010505 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010505, 20010505 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010505, 20010505 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010505, 20010505 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30080006, 30080006 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30080006, 30080006 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30080006 has answer scale_ type NullAnswer, 30080006 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30080006, 30080006 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30010004, 30010004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30010004 has answer scale_ type Nominal, 30010004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30010004, 30010004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30010004, 30010004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30220004, 30220004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30220004 has answer scale_ type Nominal, 30220004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30220004, 30220004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30220004, 30220004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010506, 20010506 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010506, 20010506 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010506 has answer scale_ type NullAnswer, 20010506 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010506, 20010506 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30030002, 30030002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30030002 has answer scale_ type Nominal, 30030002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30030002, 30030002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30030002, 30030002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010504 has answer scale_ type Ordinal, 20010504 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010504, 20010504 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010504, 20010504 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010504, 20010504 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10020108 has answer scale_ type Ordinal, 10020108 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10020108, 10020108 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10020108, 10020108 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10020108, 10020108 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30140002, 30140002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30140002 has answer scale_ type Nominal, 30140002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30140002, 30140002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30140002, 30140002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010901 has answer scale_ type Ordinal, 20010901 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010901, 20010901 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010901, 20010901 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010901, 20010901 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30120003, 30120003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30120003 has answer scale_ type Nominal, 30120003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30120003, 30120003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30120003, 30120003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30170002, 30170002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30170002 has answer scale_ type Nominal, 30170002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30170002, 30170002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30170002, 30170002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30090004, 30090004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30090004 has answer scale_ type Nominal, 30090004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30090004, 30090004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30090004, 30090004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10020103 has answer scale_ type Ordinal, 10020103 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10020103, 10020103 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10020103, 10020103 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10020103, 10020103 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30220002, 30220002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
