"AnswerId","QuestionId","ResponseCode","ResponseLabel","ResponseLabelEnglish","Scale_Type","RawNumber","Answer_Category"
"20010303","SU01_03","3","Likert response 3","Likert response 3","Ordinal","3","neutral"
"20010304","SU01_03","4","Likert response 4","Likert response 4","Ordinal","4","positive"
"20010305","SU01_03","5","trifft voll zu","fully applies","Ordinal","5","very_positive"
"20010306","SU01_03","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"20010401","SU01_04","1","trifft voll zu","fully applies","Ordinal","1","very_negative"
"20010402","SU01_04","2","Likert response 2","Likert response 2","Ordinal","2","negative"
"20010403","SU01_04","3","Likert response 3","Likert response 3","Ordinal","3","neutral"
"20010404","SU01_04","4","Likert response 4","Likert response 4","Ordinal","4","positive"
"20010405","SU01_04","5","trifft gar nicht zu","does not apply at all","Ordinal","5","very_positive"
"20010406","SU01_04","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"20010501","SU01_05","1","trifft gar nicht zu","does not apply at all","Ordinal","1","very_negative"
"20010502","SU01_05","2","Likert response 2","Likert response 2","Ordinal","2","negative"
"20010503","SU01_05","3","Likert response 3","Likert response 3","Ordinal","3","neutral"
"20010504","SU01_05","4","Likert response 4","Likert response 4","Ordinal","4","positive"
"20010505","SU01_05","5","trifft voll zu","fully applies","Ordinal","5","very_positive"
"20010506","SU01_05","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"20010601","SU01_06","1","trifft voll zu","fully applies","Ordinal","1","very_negative"
"20010602","SU01_06","2","Likert response 2","Likert response 2","Ordinal","2","negative"
"20010603","SU01_06","3","Likert response 3","Likert response 3","Ordinal","3","neutral"
"20010604","SU01_06","4","Likert response 4","Likert response 4","Ordinal","4","positive"
"20010605","SU01_06","5","trifft gar nicht zu","does not apply at all","Ordinal","5","very_positive"
"20010606","SU01_06","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"20010701","SU01_07","1","trifft gar nicht zu","does not apply at all","Ordinal","1","very_negative"
"20010702","SU01_07","2","Likert response 2","Likert response 2","Ordinal","2","negative"
"20010703","SU01_07","3","Likert response 3","Likert response 3","Ordinal","3","neutral"
"20010704","SU01_07","4","Likert response 4","Likert response 4","Ordinal","4","positive"
"20010705","SU01_07","5","trifft voll zu","fully applies","Ordinal","5","very_positive"
"20010706","SU01_07","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"20010801","SU01_08","1","trifft voll zu","fully applies","Ordinal","1","very_negative"
"20010802","SU01_08","2","Likert response 2","Likert response 2","Ordinal","2","negative"
"20010803","SU01_08","3","Likert response 3","Likert response 3","Ordinal","3","neutral"
"20010804","SU01_08","4","Likert response 4","Likert response 4","Ordinal","4","positive"
"20010805","SU01_08","5","trifft gar nicht zu","does not apply at all","Ordinal","5","very_positive"
"20010806","SU01_08","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"20010901","SU01_09","1","trifft gar nicht zu","does not apply at all","Ordinal","1","very_negative"
"20010902","SU01_09","2","Likert response 2","Likert response 2","Ordinal","2","negative"
"20010903","SU01_09","3","Likert response 3","Likert response 3","Ordinal","3","neutral"
"20010904","SU01_09","4","Likert response 4","Likert response 4","Ordinal","4","positive"
"20010905","SU01_09","5","trifft voll zu","fully applies","Ordinal","5","very_positive"
"20010906","SU01_09","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"20011001","SU01_10","1","trifft voll zu","fully applies","Ordinal","1","very_negative"
"20011002","SU01_10","2","Likert response 2","Likert response 2","Ordinal","2","negative"
"20011003","SU01_10","3","Likert response 3","Likert response 3","Ordinal","3","neutral"
"20011004","SU01_10","4","Likert response 4","Likert response 4","Ordinal","4","positive"
"20011005","SU01_10","5","trifft gar nicht zu","does not apply at all","Ordinal","5","very_positive"
"20011006","SU01_10","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30010001","UM01","1","1 Langweilig, gar nicht unterhaltsam","1 Boring, not entertaining at all","Nominal","1","very_negative"
"30010002","UM01","2","2 Überwiegend langweilig","2 Mostly boring","Nominal","2","negative"
"30010003","UM01","3","3 OK, unterhaltsam genug um sich für eine kurze Zeit mit der Lernplattform zu beschäftigen (< 5 Minuten)","3 OK, entertaining enough to engage with the learning platform for a short time (< 5 minutes)","Nominal","3","neutral"
"30010004","UM01","4","4 Mittelmäßig lustig und unterhaltsam, würde einen User für einige Zeit unterhalten (5-10 Minuten)","4 Moderately fun and entertaining; would entertain a user for some time (5-10 minutes)","Nominal","4","positive"
"30010005","UM01","5","5 Sehr unterhaltsam und lustig, regt zu mehrmaligen Benutzen an","5 Very entertaining and fun; encourages repeated use","Nominal","5","very_positive"
"30010006","UM01","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30020001","UM02","1","1 Überhaupt nicht interessant","1 Overall not interesting","Nominal","1","very_negative"
"30020002","UM02","2","2 Überwiegend nicht interessant","2 Mostly not interesting","Nominal","2","negative"
"30020003","UM02","3","3 OK, weder interessant noch uninteressant; Nutzer würden sich damit eine kurze Zeit beschäftigen (< 5 Minuten)","3 OK, neither interesting nor uninteresting; users would spend a short amount of time on it (< 5 minutes)","Nominal","3","neutral"
"30020004","UM02","4","4 Mittelmäßig interessant; Nutzer würden sich damit einige Zeit beschäftigen (insgesamt 5-10 Minuten)","4 Moderately interesting; users would spend some time on it (5-10 minutes total)","Nominal","4","positive"
"30020005","UM02","5","5 Überaus interessant, so dass man zur wiederholten Nutzung der Lernplattform angeregt wird","5 Very interesting, encouraging repeated use of the learning platform","Nominal","5","very_positive"
"30020006","UM02","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30030001","UM03","1","1 Keine interaktiven Funktionen und/oder keine Eingaben der Nutzer sind möglich","1 No interactive features and/or user input are possible","Nominal","1","very_negative"
"30030002","UM03","2","2 Unzureichende Interaktivität, oder Feedback, oder Optionen für Eingaben der User, limitierte Funktionalität","2 Insufficient interactivity, feedback, or options for user input; limited functionality","Nominal","2","negative"
"30030003","UM03","3","3 Grundlegende interaktive Funktionen, angemessene Funktionalität","3 Basic interactive features, adequate functionality","Nominal","3","neutral"
"30030004","UM03","4","4 Vielfältige interaktive Funktionen, Feedback und Optionen für Eingaben der Nutzer sind vorhanden","4 A wide range of interactive features, feedback, and options for user input are available","Nominal","4","positive"
"30030005","UM03","5","5 Interaktive Funktionen, Feedback und Optionen für Eingaben der Nutzer sind auf einem so hohen Niveau, dass man das Gefühl hat, die Lernplattform stellt sich auf die Person des Nutzers ein","5 Interactive features, feedback, and user input options are so advanced that it feels as though the learning platform adapts to each individual user","Nominal","5","very_positive"
"30030006","UM03","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30040001","UM04","1","1 Sehr unpassend/unklar/verwirrend","1 Very inappropriate/unclear/confusing","Nominal","1","very_negative"
"30040002","UM04","2","2 Eher unpassend/unklar/verwirrend","2 Somewhat inappropriate/unclear/confusing","Nominal","2","negative"
"30040003","UM04","3","3 OK, aber nicht Zielgruppen orientiert. Kann unpassend/unklar/verwirrend sein","3 OK, but not tailored to the target audience. May be inappropriate/unclear/confusing","Nominal","3","neutral"
"30040004","UM04","4","4 Zielgruppenspezifisch, mit kleinen Mängeln","4 Tailored to the target audience, with minor flaws","Nominal","4","positive"
"30040005","UM04","5","5 Sehr zielgruppenspezifisch, keine Probleme","5 Very well tailored to the target audience, no problems","Nominal","5","very_positive"
"30040006","UM04","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30060001","UM06","1","1 Die Lernplattform funktioniert nicht. Keine oder unzureichende Antwort (z.B. Abbrüche, Fehler, nicht funktionierende Funktionen, etc.)","1 The learning platform is not working. No response or an inadequate response (e.g., crashes, errors, features not working, etc.)","Nominal","1","very_negative"
"30060002","UM06","2","2 Einige Funktionen laufen, jedoch langsam oder größere technische Probleme.","2 Some features are working, but slowly or with major technical issues.","Nominal","2","negative"
"30060003","UM06","3","3 Lernplattform funktioniert im Allgemeinen. Einige technische Probleme oder gelegentlich langsam","3 The learning platform generally works. Some technical issues or occasional slowness.","Nominal","3","neutral"
"30060004","UM06","4","4 Die Lernplattform funktioniert insgesamt gut, mit kleineren, vernachlässigbaren Problemen","4 The learning platform works well overall, with minor, negligible issues.","Nominal","4","positive"
"30060005","UM06","5","5 Die Lernplattform arbeitet fehlerfrei und schnell; keine technischen Fehler, oder – falls zutreffend – enthält einen Fortschrittsbalken","5 The learning platform operates quickly and without errors; no technical errors, or - if applicable - includes a progress bar.","Nominal","5","very_positive"
"30060006","UM06","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30070001","UM07","1","1 Keine oder unzureichende Erklärungen; Menübeschriftungen und Symbole sind verwirrend und/oder kompliziert","1 No explanations or insufficient explanations; menu labels and icons are confusing and/or complicated","Nominal","1","very_negative"
"30070002","UM07","2","2 Nach hohem Aufwand benutzbar","2 Usable after considerable effort","Nominal","2","negative"
"30070003","UM07","3","3 Nach einigem Aufwand benutzbar","3 Usable after some effort","Nominal","3","neutral"
"30070004","UM07","4","4 Benutzung ist leicht erlernbar oder die Lernplattform weist klare Instruktionen zur Benutzung auf","4 Easy to learn how to use, or the learning platform provides clear instructions for use","Nominal","4","positive"
"30070005","UM07","5","5 Eine intuitive und einfache Benutzung der Lernplattform ist sofort möglich","5 The learning platform can be used intuitively and easily right away","Nominal","5","very_positive"
"30070006","UM07","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30080001","UM08","1","1 Verschiedene Abschnitte wirken unzusammenhängend/zufällig/verwirrend. Die Navigation ist kompliziert","1 Various sections seem disjointed/random/confusing. Navigation is complicated","Nominal","1","very_negative"
"30080002","UM08","2","2 Nach geraumer Zeit und hohem Aufwand benutzbar","2 Usable after a considerable amount of time and effort","Nominal","2","negative"
"30080003","UM08","3","3 Nach einiger Zeit und einigem Bemühen benutzbar","3 Usable after some time and some effort","Nominal","3","neutral"
"30080004","UM08","4","4 Leicht zu bedienen; es fehlen vernachlässigbare Verknüpfungen","4 Easy to use; only a few minor shortcuts are missing","Nominal","4","positive"
"30080005","UM08","5","5 Sehr logisch, einfach, klar und intuitive Menüführung. Bietet Verknüpfungen zum schnellen Wechsel zwischen verschiedenen Bereichen/Menüpunkten an","5 Very logical, simple, clear, and intuitive menu navigation. Provides shortcuts for quickly switching between different sections/menu items","Nominal","5","very_positive"
"30080006","UM08","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30090001","UM09","1","1 Mangelhaftes Design – unordentlich/ungeordnet; einige Optionen können nicht ausgewählt, gefunden, gesehen oder gelesen werden; Bildschirm wird nicht optimal genutzt","1 Poor design - messy/disorganized; some options cannot be selected, found, seen, or read; screen space is not used optimally","Nominal","1","very_negative"
"30090002","UM09","2","2 Schwaches Design - nicht einheitlich, unklar; einige Optionen sind schwierig auszuwählen, zu finden, zu sehen und zu lesen.","2 Weak design - inconsistent, unclear; some options are difficult to select, find, see, and read.","Nominal","2","negative"
"30090003","UM09","3","3 Mittelmäßige Qualität des Designs - einige Probleme Optionen auszuwählen, zu finden, zu sehen und zu lesen.","3 Mediocre design quality - some difficulty selecting, finding, seeing, and reading options.","Nominal","3","neutral"
"30090004","UM09","4","4 Gutes Design - überwiegend klar; Optionen können ausgewählt, gefunden, gesehen und gelesen werden.","4 Good design - mostly clear; options can be selected, found, seen, and read.","Nominal","4","positive"
"30090005","UM09","5","5 Professionelles Design - einfach, klar, übersichtlich, logisch organisiert; Bildschirm wird optimal genutzt; jede einzelne Komponente des Designs erfüllt seinen Zweck","5 Professional design - simple, clear, well-organized, logically structured; screen space is used optimally; every design component serves its purpose","Nominal","5","very_positive"
"30090006","UM09","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30100001","UM10","1","1 Grafiken wirken amateurhaft, schlechtes visuelles Design - völlig unproportional, stilistisch nicht einheitlich","1 Graphics look amateurish; poor visual design - completely out of proportion and stylistically inconsistent","Nominal","1","very_negative"
"30100002","UM10","2","2 Niedrige Qualität (z.B. Auflösung) der Grafiken. Niedrige Qualität des visuellen Designs - unproportional und stilistisch nicht einheitlich","2 Low quality (e.g., resolution) of graphics. Low quality of visual design - out of proportion and stylistically inconsistent","Nominal","2","negative"
"30100003","UM10","3","3 Mittelmäßige Qualität der Grafiken und des visuellen Designs - überwiegend einheitlich im Design","3 Mediocre quality of graphics and visual design - mostly consistent in design","Nominal","3","neutral"
"30100004","UM10","4","4 Hohe Qualität der Grafiken und gute Auflösung des visuellen Designs - überwiegend proportional und einheitlich im Stil","4 High-quality graphics and good resolution in the visual design - mostly proportional and consistent in style","Nominal","4","positive"
"30100005","UM10","5","5 Sehr hohe Qualität der Grafiken und sehr gute Auflösung des visuellen Designs - durchgehend proportional und einheitlich im Stil","5 Very high-quality graphics and very good resolution in the visual design - consistently proportional and consistent in style","Nominal","5","very_positive"
"30100006","UM10","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30110001","UM11","1","1 Kein visueller Anreiz - unangenehm zu betrachten, schwaches Design, beißende oder nicht zusammenpassende Farben","1 No visual appeal - unpleasant to look at, poor design, jarring or mismatched colors","Nominal","1","very_negative"
"30110002","UM11","2","2 Wenig visueller Anreiz - schlechtes Design, schlechter Farbgebrauch, visuell langweilig","2 Little visual appeal - poor design, poor use of color, visually boring","Nominal","2","negative"
"30110003","UM11","3","3 Etwas visueller Anreiz - durchschnittlich weder angenehm noch unangenehm","3 Some visual appeal - neither particularly pleasant nor unpleasant","Nominal","3","neutral"
"30110004","UM11","4","4 Hoher visueller Anreiz - makellose Grafiken, einheitliches und professionelles Design","4 High visual appeal - flawless graphics, consistent and professional design","Nominal","4","positive"
"30110005","UM11","5","5 Wie in Punkt 4 beschrieben, darüber hinaus: Überaus großer visueller Anreiz - einprägsam, sticht positiv heraus; Farbgestaltung wirkt sich positiv auf die Optionen und die Menüführung der Lernplattform aus","5 Exceptionally high visual appeal - memorable, stands out positively; color scheme has a positive effect on the learning platform's options and menu navigation","Nominal","5","very_positive"
"30110006","UM11","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30120001","UM12","6","N/A Die Lernplattform enthält keine Informationen","Empty  The learning platform contains no information","Nominal","6","NoInfo"
"30120002","UM12","1","1 Irrelevant, ungeeignet, unzusammenhängend, nicht korrekt","1 Irrelevant, unsuitable, incoherent, incorrect","Nominal","1","very_negative"
"30120003","UM12","2","2 Kaum relevant, kaum geeignet, kaum zusammenhängend, möglicherweise nicht korrekt","2 Barely relevant, barely suitable, barely coherent, possibly incorrect","Nominal","2","negative"
"30120004","UM12","3","3 Mittelmäßig relevant, mittelmäßig geeignet, mittelmäßig zusammenhängend, wirkt korrekt","3 Moderately relevant, moderately suitable, moderately coherent, appears correct","Nominal","3","neutral"
"30120005","UM12","4","4 Relevant, geeignet, zusammenhängend, korrekt","4 Relevant, suitable, coherent, correct","Nominal","4","positive"
"30120006","UM12","5","5 Sehr Relevant, sehr geeignet, sehr zusammenhängend, sehr korrekt","5 Very relevant, very suitable, very coherent, very correct","Nominal","5","very_positive"
"30120007","UM12","-9","nicht beantwortet","not answered","NullAnswer","-9","nan"
"30130001","UM13","6","N/A Die Lernplattform beinhaltet keine Informationen","Empty  The learning platform contains no information","Nominal","6","NoInfo"
"30130002","UM13","1","1 Minimal oder überfordernd","1 Minimal or overwhelming","Nominal","1","very_negative"
"30130003","UM13","2","2 Unzureichend oder möglicherweise überfordernd","2 Insufficient or potentially overwhelming","Nominal","2","negative"
"30130004","UM13","3","3 Ok, aber weder umfangreich noch prägnant","3 Okay, but neither comprehensive nor concise","Nominal","3","neutral"
"30130005","UM13","4","4 Bietet eine große Menge an Informationen, hat Lücken oder unnötige Details oder bietet keine weiteren Hinweise auf Literatur zum Vertiefen","4 Offers a large amount of information, has gaps or unnecessary details, or does not provide further references to literature for further study","Nominal","4","positive"
"30130006","UM13","5","5 Umfangreich und prägnant; beinhaltet Hinweise auf Literatur zum Vertiefen","5 Comprehensive and concise; includes references to literature for further study","Nominal","5","very_positive"
"30130007","UM13","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30140001","UM14","6","N/A Lernplattform beinhaltet keine visuellen Informationen (beinhaltet z.B. nur Audio-Dateien oder Text)","Empty  The learning platform contains no visual information (e.g., it contains only audio files or text)","Nominal","6","NoInfo"
"30140002","UM14","1","1 Vollkommen unklar/verwirrend/falsch oder visuelle Informationen sind eigentlich nötig, fehlen aber","1 Completely unclear/confusing/incorrect, or visual information is actually necessary but is missing","Nominal","1","very_negative"
"30140003","UM14","2","2 Überwiegend unklar/verwirrend/falsch","2 Mostly unclear/confusing/incorrect","Nominal","2","negative"
"30140004","UM14","3","3 Ok, aber oft unklar/verwirrend/falsch","3 Okay, but often unclear/confusing/incorrect","Nominal","3","neutral"
"30140005","UM14","4","4 Meistens klar, logisch und richtig, mit unerheblichen/vernachlässigbaren Problemen","4 Mostly clear, logical, and correct, with minor/negligible issues","Nominal","4","positive"
"30140006","UM14","5","5 Perfekt klar, logisch und richtig","5 Perfectly clear, logical, and correct","Nominal","5","very_positive"
"30140007","UM14","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30150001","UM15","6","N/A Lernplattform liefert diesbezüglich keine Informationen","Empty The learning platform provides no information in this regard","Nominal","6","NoInfo"
"30150002","UM15","1","1 Die Quelle ist fragwürdig","1 The source is questionable","Nominal","1","very_negative"
"30150003","UM15","2","2 Es fehlt an Glaubwürdigkeit der Quelle","2 The source lacks credibility","Nominal","2","negative"
"30150004","UM15","3","3 Keine fragwürdige Quelle, aber die Legitimität der Quelle ist unklar","3 Not a questionable source, but the source's legitimacy is unclear","Nominal","3","neutral"
"30150005","UM15","4","4 Stammt möglicherweise von einer legitimen Quelle","4 May come from a legitimate source","Nominal","4","positive"
"30150006","UM15","5","5 Stammt definitiv aus einer legitimen/spezialisierten Quelle","5 Definitely comes from a legitimate/specialized source","Nominal","5","very_positive"
"30150007","UM15","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30160001","UM16","1","1 Ich würde die Lernplattform niemanden empfehlen","1 I would not recommend the learning platform to anyone","Nominal","1","very_negative"
"30160002","UM16","2","2 Ich würde die Lernplattform nur wenigen Personen empfehlen","2 I would recommend the learning platform to only a few people","Nominal","2","negative"
"30160003","UM16","3","3 Ich würde die Lernplattform einigen Personen empfehlen","3 I would recommend the learning platform to some people","Nominal","3","neutral"
"30160004","UM16","4","4 Ich würde die Lernplattform vielen Personen empfehlen","4 I would recommend the learning platform to many people","Nominal","4","positive"
"30160005","UM16","5","5 Ich würde die Lernplattform jedem empfehlen","5 I would recommend the learning platform to everyone","Nominal","5","very_positive"
"30160006","UM16","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30170001","UM17","1","1 Nie","1 Never","Nominal","1","very_negative"
"30170002","UM17","2","2 1-2","2 1-2","Nominal","2","negative"
"30170003","UM17","3","3 3-10","3 3-10","Nominal","3","neutral"
"30170004","UM17","4","4 10-50","4 10-50","Nominal","4","positive"
"30170005","UM17","5","5 >50","5 >50","Nominal","5","very_positive"
"30170006","UM17","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30180001","UM18","1","1 Überhaupt nicht","1 1: Not at all","Nominal","1","very_negative"
"30180002","UM18","2","2","2 2","Nominal","2","negative"
"30180003","UM18","3","3","3 3","Nominal","3","neutral"
"30180004","UM18","4","4","4 4","Nominal","4","positive"
"30180005","UM18","5","5 Auf jeden Fall","5 5: Definitely","Nominal","5","very_positive"
"30180006","UM18","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30190001","UM19","1","1 Eine der schlechtesten Lernplattformen, die ich je genutzt habe","1 One of the worst learning platforms I have ever used","Nominal","1","very_negative"
"30190002","UM19","2","2","2 2","Nominal","2","negative"
"30190003","UM19","3","3 Durchschnittlich","3 Average","Nominal","3","neutral"
"30190004","UM19","4","4","4 4","Nominal","4","positive"
"30190005","UM19","5","5 Eine der besten Lernplattformen, die ich je genutzt habe","5 One of the best learning platforms I have ever used","Nominal","5","very_positive"
"30190006","UM19","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30200001","UM20","1","1 Stimme überhaupt nicht zu","1 Strongly disagree","Nominal","1","very_negative"
"30200002","UM20","2","2","2 2","Nominal","2","negative"
"30200003","UM20","3","3","3 3","Nominal","3","neutral"
"30200004","UM20","4","4","4 4","Nominal","4","positive"
"30200005","UM20","5","5 Stimme sehr zu","5 Strongly agree","Nominal","5","very_positive"
"30200006","UM20","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30210001","UM21","1","1 Stimme überhaupt nicht zu","1 Strongly disagree","Nominal","1","very_negative"
"30210002","UM21","2","2","2 2","Nominal","2","negative"
"30210003","UM21","3","3","3 3","Nominal","3","neutral"
"30210004","UM21","4","4","4 4","Nominal","4","positive"
"30210005","UM21","5","5 Stimme sehr zu","5 Strongly agree","Nominal","5","very_positive"
"30210006","UM21","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30220001","UM22","1","1 Stimme überhaupt nicht zu","1 Strongly disagree","Nominal","1","very_negative"
"30220002","UM22","2","2","2 2","Nominal","2","negative"
"30220003","UM22","3","3","3 3","Nominal","3","neutral"
"30220004","UM22","4","4","4 4","Nominal","4","positive"
"30220005","UM22","5","5 Stimme sehr zu","5 Strongly agree","Nominal","5","very_positive"
"30220006","UM22","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30230001","UM23","1","1 Stimme überhaupt nicht zu","1 Strongly disagree","Nominal","1","very_negative"
"30230002","UM23","2","2","2 2","Nominal","2","negative"
"30230003","UM23","3","3","3 3","Nominal","3","neutral"
"30230004","UM23","4","4","4 4","Nominal","4","positive"
"30230005","UM23","5","5 Stimme sehr zu","5 Strongly agree","Nominal","5","very_positive"
"30230006","UM23","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30240001","UM24","1","1 Stimme überhaupt nicht zu","1 Strongly disagree","Nominal","1","very_negative"
"30240002","UM24","2","2","2 2","Nominal","2","negative"
"30240003","UM24","3","3","3 3","Nominal","3","neutral"
"30240004","UM24","4","4","4 4","Nominal","4","positive"
"30240005","UM24","5","5 Stimme sehr zu","5 Strongly agree","Nominal","5","very_positive"
